roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Parcel_001,410,425.740992857633,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
2,Parcel_002,410,748.951944136571,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
3,Parcel_003,410,105.867549758,0.008,0.848,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
4,Parcel_004,410,152.889748544755,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
5,Parcel_005,410,914.479665323981,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
6,Parcel_006,410,631.113049137015,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
7,Parcel_007,410,481.481823315906,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
8,Parcel_008,410,1012.0424906726,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
9,Parcel_009,410,507.342197802961,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
10,Parcel_010,410,716.233368672519,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
11,Parcel_011,410,882.480678000736,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
12,Parcel_012,410,1720.16090275689,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
13,Parcel_013,410,798.790383583686,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
14,Parcel_014,410,2391.5425145782,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
15,Parcel_015,410,329.044924823598,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
16,Parcel_016,410,337.846238316494,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
17,Parcel_017,410,296.728243119557,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
18,Parcel_018,410,389.367177248935,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
19,Parcel_019,410,308.251265680051,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
20,Parcel_020,410,481.581972915578,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
21,Parcel_021,410,534.655957658924,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
22,Parcel_022,410,551.268554830263,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
23,Parcel_023,410,683.949703279699,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
24,Parcel_024,410,529.164375493044,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
25,Parcel_025,410,554.01565030715,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
26,Parcel_026,410,461.564220113329,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
27,Parcel_027,410,284.908074266373,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
28,Parcel_028,410,353.507835112931,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
29,Parcel_029,410,1252.96844720599,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
30,Parcel_030,410,1331.85137988657,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
31,Parcel_031,410,785.891467420923,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
32,Parcel_032,410,825.790961603438,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
33,Parcel_033,410,804.108684368938,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
34,Parcel_034,410,631.565159251893,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
35,Parcel_035,410,733.409490572395,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
36,Parcel_036,410,1460.44625956071,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
37,Parcel_037,410,377.309910805651,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
38,Parcel_038,410,1034.19385895383,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
39,Parcel_039,410,496.326400030412,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
40,Parcel_040,410,762.69239903491,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
41,Parcel_041,410,676.863073645654,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
42,Parcel_042,410,613.288738095239,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
43,Parcel_043,410,580.480771004118,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
44,Parcel_044,410,862.985526492337,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
45,Parcel_045,410,138.159245332664,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
46,Parcel_046,410,382.865243001881,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
47,Parcel_047,410,179.066363311244,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
48,Parcel_048,410,90.5605031565271,0.023,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
49,Parcel_049,410,591.752645338681,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
50,Parcel_050,410,304.058759946885,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
51,Parcel_051,410,476.00618172962,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
52,Parcel_052,410,321.850262081292,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
53,Parcel_053,410,216.304500841659,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
