roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Parcel_001,410,529.059343776624,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
2,Parcel_002,410,731.764544831668,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
3,Parcel_003,410,98.3672520486939,0.012,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
4,Parcel_004,410,193.441343533822,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
5,Parcel_005,410,929.897286242346,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
6,Parcel_006,410,688.283694256214,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
7,Parcel_007,410,462.253208493453,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
8,Parcel_008,410,929.453215474081,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
9,Parcel_009,410,539.417632756408,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
10,Parcel_010,410,687.453424121444,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
11,Parcel_011,410,983.801984102997,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
12,Parcel_012,410,1709.58832405732,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
13,Parcel_013,410,619.585300676078,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
14,Parcel_014,410,2151.86615471484,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
15,Parcel_015,410,257.837505517653,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
16,Parcel_016,410,158.485656565366,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
17,Parcel_017,410,290.269872350876,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
18,Parcel_018,410,209.931632020644,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
19,Parcel_019,410,396.805390864007,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
20,Parcel_020,410,573.566061731513,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
21,Parcel_021,410,596.119881244688,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
