roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Parcel_001,410,375.584326722752,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
2,Parcel_002,410,712.356620756759,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
3,Parcel_003,410,135.942222402336,0.006,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
4,Parcel_004,410,85.6687130988741,0.042,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
5,Parcel_005,410,119.261564168428,0.015,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
6,Parcel_006,410,141.220873388569,0.007,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
7,Parcel_007,410,299.332286100647,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
8,Parcel_008,410,554.733157983636,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
9,Parcel_009,410,225.617952382206,0.002,0.686,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
10,Parcel_010,410,314.734056979583,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
11,Parcel_011,410,272.697063314516,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
12,Parcel_012,410,499.615961122233,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
13,Parcel_013,410,257.426839478721,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
14,Parcel_014,410,572.970961827494,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
15,Parcel_015,410,414.854553788976,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
16,Parcel_016,410,305.077247087236,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
17,Parcel_017,410,534.353338087101,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
18,Parcel_018,410,477.902158492279,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
19,Parcel_019,410,256.959823768488,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
20,Parcel_020,410,126.833256164604,0.011,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
21,Parcel_021,410,205.604401020116,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
22,Parcel_022,410,92.0606332309067,0.048,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
23,Parcel_023,410,206.685318596612,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
24,Parcel_024,410,126.191992472937,0.007,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
25,Parcel_025,410,240.6385681586,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
26,Parcel_026,410,260.40353849018,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
27,Parcel_027,410,108.252376774367,0.015,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
28,Parcel_028,410,186.383208446,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
29,Parcel_029,410,463.201033130008,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
30,Parcel_030,410,591.588818329368,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
31,Parcel_031,410,482.29987974522,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
32,Parcel_032,410,412.410077349506,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
33,Parcel_033,410,284.818599982376,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
34,Parcel_034,410,83.8440314576443,0.06,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
35,Parcel_035,410,241.84322353609,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
36,Parcel_036,410,382.057972925737,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
37,Parcel_037,410,234.602420352689,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
38,Parcel_038,410,241.877830230994,0.001,0.489,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
39,Parcel_039,410,156.205305200334,0.002,0.686,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
