roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Parcel_001,410,425.740993546061,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
2,Parcel_002,410,748.951946378413,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
3,Parcel_003,410,105.867550517447,0.00573,0.61884,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
4,Parcel_004,410,152.889747948543,0.00018,0.02988,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
5,Parcel_005,410,914.479663379464,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
6,Parcel_006,410,631.11304893843,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
7,Parcel_007,410,481.481822567831,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
8,Parcel_008,410,1012.04248939808,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
9,Parcel_009,410,507.342197787148,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
10,Parcel_010,410,716.233370506387,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
11,Parcel_011,410,882.480678119325,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
12,Parcel_012,410,1720.16089628149,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
13,Parcel_013,410,798.79039049939,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
14,Parcel_014,410,2391.54251569047,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
15,Parcel_015,410,329.044925839041,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
16,Parcel_016,410,337.846237978471,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
17,Parcel_017,410,296.728242562479,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
18,Parcel_018,410,389.367176090667,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
19,Parcel_019,410,308.251265626851,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
20,Parcel_020,410,481.581972772629,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
21,Parcel_021,410,534.655957892272,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
22,Parcel_022,410,551.268555250032,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
23,Parcel_023,410,683.949700264382,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
24,Parcel_024,410,529.164375092921,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
25,Parcel_025,410,554.015649792749,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
26,Parcel_026,410,461.564220492927,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
27,Parcel_027,410,284.908076852842,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
28,Parcel_028,410,353.507835030973,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
29,Parcel_029,410,1252.96844811514,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
30,Parcel_030,410,1331.85137580356,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
31,Parcel_031,410,785.891467919073,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
32,Parcel_032,410,825.790962081723,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
33,Parcel_033,410,804.108683719405,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
34,Parcel_034,410,631.56515981635,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
35,Parcel_035,410,733.409491919305,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
36,Parcel_036,410,1460.44626161887,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
37,Parcel_037,410,377.30991005945,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
38,Parcel_038,410,1034.19385876502,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
39,Parcel_039,410,496.326398693446,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
40,Parcel_040,410,762.692402457827,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
41,Parcel_041,410,676.86307191942,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
42,Parcel_042,410,613.288738290561,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
43,Parcel_043,410,580.480766176008,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
44,Parcel_044,410,862.985530475363,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
45,Parcel_045,410,138.159243775492,0.00073,0.10366,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
46,Parcel_046,410,382.865241722246,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
47,Parcel_047,410,179.066363140074,4e-05,0.00764,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
48,Parcel_048,410,90.5605022253645,0.01597,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
49,Parcel_049,410,591.752646176591,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
50,Parcel_050,410,304.058759614309,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
51,Parcel_051,410,476.00618036813,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
52,Parcel_052,410,321.850262557138,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
53,Parcel_053,410,216.304499094291,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
54,Parcel_054,410,282.645331445555,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,conditional_on_independence_and_null_symmetry,0
