roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Parcel_001,410,529.059344086258,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
2,Parcel_002,410,731.764543161946,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
3,Parcel_003,410,98.3672519249144,0.01046,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
4,Parcel_004,410,193.441343760891,3e-05,0.00657,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
5,Parcel_005,410,929.897285398369,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
6,Parcel_006,410,688.283693671126,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
7,Parcel_007,410,462.253208698744,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
8,Parcel_008,410,929.453212992783,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
9,Parcel_009,410,539.417630070268,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
10,Parcel_010,410,687.453424422755,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
11,Parcel_011,410,983.801987716034,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
12,Parcel_012,410,1709.58832328775,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
13,Parcel_013,410,619.585299348189,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
14,Parcel_014,410,2151.86615679213,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
15,Parcel_015,410,257.837505021679,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
16,Parcel_016,410,158.485657363318,0.00048,0.08544,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
17,Parcel_017,410,290.269870784159,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
18,Parcel_018,410,209.931631547532,2e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
19,Parcel_019,410,396.805392558704,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,conditional_on_independence_and_null_symmetry,0
