roi_id,roi_name,effective_n,max_abs_centered_skewness,max_abs_standardized_residual,max_LOO_mean_shift_SE_norm,influential_row_id,signflip_p_holm,bootstrap_p_raw,bootstrap_p_holm,bootstrap_significant,decision_disagreement,bootstrap_status
1,Parcel_001,410,0.496770055342694,5.58124239113844,0.903677977221019,row_032,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
2,Parcel_002,410,0.519876296742109,6.04097389185764,0.722128805922525,row_020,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
3,Parcel_003,410,0.324532966305954,4.56263380173791,0.731315671969807,row_275,1,0.00462,1,0,0,approximate_centered_bootstrap
4,Parcel_004,410,0.436983541408498,4.56654695963479,0.610538583363337,row_023,1,0.04897,1,0,0,approximate_centered_bootstrap
5,Parcel_005,410,0.432601122013706,5.31489916657743,0.767782421921654,row_129,1,0.01016,1,0,0,approximate_centered_bootstrap
6,Parcel_006,410,0.659670832729543,5.98609051442745,0.879186442574943,row_129,1,0.00437,1,0,0,approximate_centered_bootstrap
7,Parcel_007,410,0.34892696029964,5.28716891297868,0.738792373743843,row_128,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
8,Parcel_008,410,0.632600010302711,5.75743529469743,0.78448206844282,row_129,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
9,Parcel_009,410,1.18766088586538,7.82413822999794,0.868043303024831,row_020,0.05936,0.00017,0.06307,0,0,approximate_centered_bootstrap
10,Parcel_010,410,0.844490974280845,7.41054205772937,0.92665003611389,row_020,0.00489,2e-05,0.00862,1,0,approximate_centered_bootstrap
11,Parcel_011,410,0.831821833728537,6.72605281848988,0.865609486188968,row_129,0.01628,2e-05,0.00862,1,0,approximate_centered_bootstrap
12,Parcel_012,410,0.45811759676638,5.81703194598484,0.845432665845094,row_020,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
13,Parcel_013,410,0.967673812056589,6.06680632346241,1.00184066386351,row_142,0.01248,4e-05,0.01644,1,0,approximate_centered_bootstrap
14,Parcel_014,410,0.356265785174262,5.3488238440578,0.774711239883827,row_129,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
15,Parcel_015,410,0.974728336580548,7.68515385874747,0.895913169632567,row_020,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
16,Parcel_016,410,0.587489638339514,6.40366353502765,0.748672591196461,row_020,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
17,Parcel_017,410,0.417686100222818,5.20080794263537,0.744662226642095,row_020,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
18,Parcel_018,410,0.500810692045508,5.33119685435842,0.784112957796968,row_020,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
19,Parcel_019,410,0.43540611435382,4.3635074807122,0.698252140822546,row_156,0.01248,2e-05,0.00862,1,0,approximate_centered_bootstrap
20,Parcel_020,410,0.388285333218031,5.53135395379781,0.847102831084405,row_023,1,0.00776,1,0,0,approximate_centered_bootstrap
21,Parcel_021,410,0.408932142886786,5.42530689157259,0.802381540778351,row_020,0.08925,0.00034,0.11866,0,0,approximate_centered_bootstrap
22,Parcel_022,410,1.11769282094704,7.58091417212778,1.37995120057556,row_296,1,0.04098,1,0,0,approximate_centered_bootstrap
23,Parcel_023,410,0.545933614326223,5.65675984583397,0.82908270915339,row_036,0.09856,0.00035,0.12145,0,0,approximate_centered_bootstrap
24,Parcel_024,410,1.79161962321892,8.93658548693094,1.28678868120008,row_296,1,0.00807,1,0,0,approximate_centered_bootstrap
25,Parcel_025,410,0.744270594097439,5.4151002341884,0.758724958784723,row_032,0.02,6e-05,0.024,1,0,approximate_centered_bootstrap
26,Parcel_026,410,0.603087765435544,5.6602640354494,0.782492015655965,row_251,0.02709,4e-05,0.01644,1,0,approximate_centered_bootstrap
27,Parcel_027,410,0.313643807766151,4.16696097789087,0.659325657206835,row_203,1,0.01638,1,0,0,approximate_centered_bootstrap
28,Parcel_028,410,0.302732457585975,4.56953703418008,0.731454872442267,row_244,0.11832,0.00043,0.14663,0,0,approximate_centered_bootstrap
29,Parcel_029,410,0.425029699277649,4.69664931014274,0.748617546812075,row_129,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
30,Parcel_030,410,0.77561238822797,6.51347094505772,0.822316595715953,row_101,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
31,Parcel_031,410,0.601043453454939,5.99996963694156,0.817094211068647,row_022,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
32,Parcel_032,410,0.574443256034768,5.14782471458586,0.850008065038761,row_056,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
33,Parcel_033,410,0.525370331291674,5.24760732504298,0.887268645389297,row_020,0.0085,2e-05,0.00862,1,0,approximate_centered_bootstrap
34,Parcel_034,410,0.549604764149832,5.79802587271037,0.889816974076854,row_277,1,0.05851,1,0,0,approximate_centered_bootstrap
35,Parcel_035,410,0.567072633601005,6.04220885089234,0.838015192963012,row_020,0.0085,3e-05,0.01257,1,0,approximate_centered_bootstrap
36,Parcel_036,410,0.259994746563496,4.70823763179153,0.715610604293953,row_381,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
37,Parcel_037,410,0.342166822472288,4.19722268398466,0.650609205136518,row_054,0.03088,9e-05,0.03456,1,0,approximate_centered_bootstrap
38,Parcel_038,410,0.569723687060222,5.20965973860867,0.724038097253397,row_036,0.01248,4e-05,0.01644,1,0,approximate_centered_bootstrap
39,Parcel_039,410,0.926234516511982,7.05628895706898,0.94324293191513,row_129,0.54384,0.00206,0.63448,0,0,approximate_centered_bootstrap
40,Parcel_040,410,0.463879588139316,5.20023268690818,0.874944213032801,row_301,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
41,Parcel_041,410,1.12956949864321,7.78492730376454,1.10384820112004,row_129,1,0.08481,1,0,0,approximate_centered_bootstrap
42,Parcel_042,410,0.510004156461229,5.00271778594859,0.784215721569943,row_032,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
43,Parcel_043,410,1.4576914566072,8.01009876666529,1.14969158239911,row_129,1,0.0099,1,0,0,approximate_centered_bootstrap
44,Parcel_044,410,0.826513933376303,6.73701800882094,1.23080198519345,row_125,0.00489,1e-05,0.00489,1,0,approximate_centered_bootstrap
45,Parcel_045,410,0.898378089914134,6.69764234617924,0.846584781673557,row_020,0.12765,0.00034,0.11866,0,0,approximate_centered_bootstrap
46,Parcel_046,410,0.552279169742893,5.47176616014317,0.817200381952796,row_129,0.01248,7e-05,0.02765,1,0,approximate_centered_bootstrap
47,Parcel_047,410,0.542554555515646,5.43070512532648,0.838270657139365,row_105,1,0.03059,1,0,0,approximate_centered_bootstrap
48,Parcel_048,410,0.327301532031663,4.34373757503952,0.770303196966647,row_030,1,0.02897,1,0,0,approximate_centered_bootstrap
49,Parcel_049,410,0.702165875125105,6.58420578569512,0.744661938789001,row_297,0.03447,0.00013,0.04875,1,0,approximate_centered_bootstrap
50,Parcel_050,410,0.503893941919141,5.62509037583543,0.853911967962559,row_129,0.26228,0.00073,0.24528,0,0,approximate_centered_bootstrap
51,Parcel_051,410,0.440488739154941,5.56096238916014,1.03454597765936,row_160,0.02352,8e-05,0.03096,1,0,approximate_centered_bootstrap
52,Parcel_052,410,0.465357922550197,5.02437284030017,0.777859986212162,row_380,0.28623,0.00076,0.2546,0,0,approximate_centered_bootstrap
53,Parcel_053,410,0.352292040373438,4.74652819902447,0.788420272919615,row_325,1,0.76637,1,0,0,approximate_centered_bootstrap
54,Parcel_054,410,0.546620893225314,5.11382758019886,0.890389495289244,row_200,1,0.24997,1,0,0,approximate_centered_bootstrap
55,Parcel_055,410,0.687742925144619,6.20678175545259,0.901521261771747,row_129,0.11168,0.00036,0.1242,0,0,approximate_centered_bootstrap
56,Parcel_056,410,0.380742809064837,5.37957704985876,0.762485816344386,row_145,0.43924,0.00136,0.43248,0,0,approximate_centered_bootstrap
57,Parcel_057,410,0.856472101602193,6.7051992202472,1.09702166976404,row_036,0.07986,0.00028,0.09996,0,0,approximate_centered_bootstrap
58,Parcel_058,410,0.468690913339329,5.59889267340513,1.03279403362187,row_313,0.40386,0.00108,0.35208,0,0,approximate_centered_bootstrap
59,Parcel_059,410,0.36732424909517,5.00814069374128,0.73667689311411,row_129,1,0.01907,1,0,0,approximate_centered_bootstrap
