roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Parcel_001,410,375.584324428988,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
2,Parcel_002,410,712.356623507154,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
3,Parcel_003,410,135.942222361251,0.00418,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
4,Parcel_004,410,85.6687133599365,0.04853,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
5,Parcel_005,410,119.261563267099,0.01044,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
6,Parcel_006,410,141.220872245917,0.00395,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
7,Parcel_007,410,299.332283054701,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
8,Parcel_008,410,554.733161848967,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
9,Parcel_009,410,225.617952557522,0.00016,0.05936,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,1
10,Parcel_010,410,314.734058839817,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
11,Parcel_011,410,272.697064177106,4e-05,0.01628,1,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
12,Parcel_012,410,499.615959508146,1e-05,0.00489,1,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,conditional_on_independence_and_null_symmetry,0
