sourceRow,retained,nonfiniteSource,invalidFlag,allZeroSourceCondition,ambiguousZeroWithoutFlags,subjectID
1,1,0,0,0,0,row_001
2,1,0,0,0,0,row_002
3,1,0,0,0,0,row_003
4,1,0,0,0,0,row_004
5,1,0,0,0,0,row_005
6,1,0,0,0,0,row_006
7,1,0,0,0,0,row_007
8,1,0,0,0,0,row_008
9,1,0,0,0,0,row_009
10,1,0,0,0,0,row_010
11,1,0,0,0,0,row_011
12,1,0,0,0,0,row_012
13,1,0,0,0,0,row_013
14,1,0,0,0,0,row_014
15,1,0,0,0,0,row_015
16,1,0,0,0,0,row_016
17,1,0,0,0,0,row_017
18,1,0,0,0,0,row_018
19,1,0,0,0,0,row_019
20,1,0,0,0,0,row_020
21,1,0,0,0,0,row_021
22,1,0,0,0,0,row_022
23,1,0,0,0,0,row_023
24,1,0,0,0,0,row_024
25,1,0,0,0,0,row_025
26,1,0,0,0,0,row_026
27,1,0,0,0,0,row_027
28,1,0,0,0,0,row_028
29,1,0,0,0,0,row_029
30,1,0,0,0,0,row_030
31,1,0,0,0,0,row_031
32,1,0,0,0,0,row_032
33,1,0,0,0,0,row_033
34,1,0,0,0,0,row_034
35,1,0,0,0,0,row_035
36,1,0,0,0,0,row_036
37,1,0,0,0,0,row_037
38,1,0,0,0,0,row_038
39,1,0,0,0,0,row_039
40,1,0,0,0,0,row_040
41,1,0,0,0,0,row_041
42,1,0,0,0,0,row_042
43,1,0,0,0,0,row_043
44,1,0,0,0,0,row_044
45,1,0,0,0,0,row_045
46,1,0,0,0,0,row_046
47,1,0,0,0,0,row_047
48,1,0,0,0,0,row_048
49,1,0,0,0,0,row_049
50,1,0,0,0,0,row_050
51,1,0,0,0,0,row_051
52,1,0,0,0,0,row_052
53,1,0,0,0,0,row_053
54,1,0,0,0,0,row_054
55,1,0,0,0,0,row_055
56,1,0,0,0,0,row_056
57,1,0,0,0,0,row_057
58,1,0,0,0,0,row_058
59,1,0,0,0,0,row_059
60,1,0,0,0,0,row_060
61,1,0,0,0,0,row_061
62,1,0,0,0,0,row_062
63,1,0,0,0,0,row_063
64,1,0,0,0,0,row_064
65,1,0,0,0,0,row_065
66,1,0,0,0,0,row_066
67,1,0,0,0,0,row_067
68,1,0,0,0,0,row_068
69,1,0,0,0,0,row_069
70,1,0,0,0,0,row_070
71,1,0,0,0,0,row_071
72,1,0,0,0,0,row_072
73,1,0,0,0,0,row_073
74,1,0,0,0,0,row_074
75,1,0,0,0,0,row_075
76,1,0,0,0,0,row_076
77,1,0,0,0,0,row_077
78,1,0,0,0,0,row_078
79,1,0,0,0,0,row_079
80,1,0,0,0,0,row_080
81,1,0,0,0,0,row_081
82,1,0,0,0,0,row_082
83,1,0,0,0,0,row_083
84,1,0,0,0,0,row_084
85,1,0,0,0,0,row_085
86,1,0,0,0,0,row_086
87,1,0,0,0,0,row_087
88,1,0,0,0,0,row_088
89,1,0,0,0,0,row_089
90,1,0,0,0,0,row_090
91,1,0,0,0,0,row_091
92,1,0,0,0,0,row_092
93,1,0,0,0,0,row_093
94,1,0,0,0,0,row_094
95,1,0,0,0,0,row_095
96,1,0,0,0,0,row_096
97,1,0,0,0,0,row_097
98,1,0,0,0,0,row_098
99,1,0,0,0,0,row_099
100,1,0,0,0,0,row_100
101,1,0,0,0,0,row_101
102,1,0,0,0,0,row_102
103,0,1,0,0,0,row_103
104,1,0,0,0,0,row_104
105,1,0,0,0,0,row_105
106,1,0,0,0,0,row_106
107,1,0,0,0,0,row_107
108,1,0,0,0,0,row_108
109,1,0,0,0,0,row_109
110,1,0,0,0,0,row_110
111,1,0,0,0,0,row_111
112,1,0,0,0,0,row_112
113,1,0,0,0,0,row_113
114,1,0,0,0,0,row_114
115,1,0,0,0,0,row_115
116,1,0,0,0,0,row_116
117,1,0,0,0,0,row_117
118,1,0,0,0,0,row_118
119,1,0,0,0,0,row_119
120,1,0,0,0,0,row_120
121,1,0,0,0,0,row_121
122,1,0,0,0,0,row_122
123,1,0,0,0,0,row_123
124,1,0,0,0,0,row_124
125,1,0,0,0,0,row_125
126,1,0,0,0,0,row_126
127,1,0,0,0,0,row_127
128,1,0,0,0,0,row_128
129,1,0,0,0,0,row_129
130,1,0,0,0,0,row_130
131,1,0,0,0,0,row_131
132,1,0,0,0,0,row_132
133,1,0,0,0,0,row_133
134,1,0,0,0,0,row_134
135,1,0,0,0,0,row_135
136,1,0,0,0,0,row_136
137,1,0,0,0,0,row_137
138,1,0,0,0,0,row_138
139,1,0,0,0,0,row_139
140,1,0,0,0,0,row_140
141,1,0,0,0,0,row_141
142,1,0,0,0,0,row_142
143,1,0,0,0,0,row_143
144,1,0,0,0,0,row_144
145,1,0,0,0,0,row_145
146,1,0,0,0,0,row_146
147,1,0,0,0,0,row_147
148,1,0,0,0,0,row_148
149,1,0,0,0,0,row_149
150,1,0,0,0,0,row_150
151,1,0,0,0,0,row_151
152,1,0,0,0,0,row_152
153,1,0,0,0,0,row_153
154,1,0,0,0,0,row_154
155,1,0,0,0,0,row_155
156,1,0,0,0,0,row_156
157,1,0,0,0,0,row_157
158,1,0,0,0,0,row_158
159,1,0,0,0,0,row_159
160,1,0,0,0,0,row_160
161,1,0,0,0,0,row_161
162,1,0,0,0,0,row_162
163,1,0,0,0,0,row_163
164,1,0,0,0,0,row_164
165,1,0,0,0,0,row_165
166,1,0,0,0,0,row_166
167,1,0,0,0,0,row_167
168,1,0,0,0,0,row_168
169,1,0,0,0,0,row_169
170,1,0,0,0,0,row_170
171,0,1,0,0,0,row_171
172,1,0,0,0,0,row_172
173,1,0,0,0,0,row_173
174,1,0,0,0,0,row_174
175,1,0,0,0,0,row_175
176,1,0,0,0,0,row_176
177,1,0,0,0,0,row_177
178,1,0,0,0,0,row_178
179,1,0,0,0,0,row_179
180,1,0,0,0,0,row_180
181,1,0,0,0,0,row_181
182,1,0,0,0,0,row_182
183,1,0,0,0,0,row_183
184,1,0,0,0,0,row_184
185,1,0,0,0,0,row_185
186,1,0,0,0,0,row_186
