roi_id,roi_name,effective_n,max_abs_centered_skewness,max_abs_standardized_residual,max_LOO_mean_shift_SE_norm,influential_row_id,signflip_p_holm,bootstrap_p_raw,bootstrap_p_holm,bootstrap_significant,decision_disagreement,bootstrap_status
1,Ctx_V1_L,410,0.50208239094158,5.38373334136759,0.8035687341946,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
2,Ctx_V1_R,410,0.426335032882068,6.18988586987378,0.917741676555231,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
3,Ctx_MST_L,410,0.404927217604256,5.41947824231095,0.759524824244911,row_116,1,0.03125,1,0,0,approximate_centered_bootstrap
4,Ctx_MST_R,410,0.689904879816411,6.92327879930147,0.859663414495588,row_129,1,0.03125,1,0,0,approximate_centered_bootstrap
5,Ctx_V6_L,410,0.457378090622373,5.47746518426823,0.765633448095759,row_020,1,0.03125,1,0,0,approximate_centered_bootstrap
6,Ctx_V6_R,410,0.827281644255063,6.79956760241227,0.881527033159271,row_129,1,0.03125,1,0,0,approximate_centered_bootstrap
7,Ctx_V2_L,410,0.505904138206916,6.38056489981588,0.933682767965745,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
8,Ctx_V2_R,410,0.398386631932269,5.84202938215082,0.955783178390213,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
9,Ctx_V3_L,410,0.978585744162597,7.44972566933336,1.02940284509231,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
10,Ctx_V3_R,410,0.833250331489008,7.20901884176223,0.952246773649133,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
11,Ctx_V4_L,410,0.454317955382658,4.5608408366432,0.69409526335716,row_175,1,0.03125,1,0,0,approximate_centered_bootstrap
12,Ctx_V4_R,410,0.396233760446668,5.36504444278526,0.703768981630531,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
13,Ctx_V8_L,410,0.561515265131765,4.87436397791013,0.859222100198767,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
14,Ctx_V8_R,410,0.416396624271049,4.57337293792851,0.672768393627054,row_257,1,0.03125,1,0,0,approximate_centered_bootstrap
15,Ctx_4_L,410,0.786582378894284,6.925105956113,1.06747826136368,row_020,1,0.03125,1,0,0,approximate_centered_bootstrap
16,Ctx_4_R,410,0.550556364464552,5.61192804913883,0.858998587783726,row_020,1,0.03125,1,0,0,approximate_centered_bootstrap
17,Ctx_3b_L,410,0.557694819487487,5.62460831156526,0.901560031750385,row_069,1,0.03125,1,0,0,approximate_centered_bootstrap
18,Ctx_3b_R,410,0.507149989028673,5.5045633299838,0.777731129536868,row_020,1,0.03125,1,0,0,approximate_centered_bootstrap
19,Ctx_FEF_L,410,0.319033186544137,4.95697640431366,0.72967429019823,row_020,1,0.03125,1,0,0,approximate_centered_bootstrap
20,Ctx_FEF_R,410,0.390568147273007,4.40300317208853,0.709656142129745,row_023,1,0.03125,1,0,0,approximate_centered_bootstrap
21,Ctx_PEF_L,410,0.426456086657223,5.13156679712222,0.779612012253529,row_020,1,0.03125,1,0,0,approximate_centered_bootstrap
22,Ctx_PEF_R,410,0.570865909433466,5.70778500614649,0.998148649072198,row_296,1,0.03125,1,0,0,approximate_centered_bootstrap
23,Ctx_55b_L,410,0.868681033208848,5.6562320382024,1.01456134274065,row_020,1,0.03125,1,0,0,approximate_centered_bootstrap
24,Ctx_55b_R,410,0.452307918552956,4.94093155216536,0.864840395364365,row_296,1,0.03125,1,0,0,approximate_centered_bootstrap
25,Ctx_V3A_L,410,0.797612345415989,7.63700007298138,0.995673860382513,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
26,Ctx_V3A_R,410,0.371420704127061,5.22703181479582,0.786153888410728,row_230,1,0.03125,1,0,0,approximate_centered_bootstrap
27,Ctx_RSC_L,410,0.270611821892028,4.55277338344768,0.786041224153255,row_201,1,0.03125,1,0,0,approximate_centered_bootstrap
28,Ctx_RSC_R,410,0.587576449783816,5.98160672953301,0.691913314879767,row_403,1,0.03125,1,0,0,approximate_centered_bootstrap
29,Ctx_POS2_L,410,0.385759576423016,4.45891524852495,0.66110959706936,row_129,1,0.03125,1,0,0,approximate_centered_bootstrap
30,Ctx_POS2_R,410,0.60574237797116,5.43545734015977,0.75577104360148,row_057,1,0.03125,1,0,0,approximate_centered_bootstrap
31,Ctx_V7_L,410,1.03104091502761,7.91180334378075,1.12311542333365,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
32,Ctx_V7_R,410,1.32759714453229,6.67465027650982,0.970112122342394,row_218,1,0.03125,1,0,0,approximate_centered_bootstrap
33,Ctx_IPS1_L,410,0.597512621187193,5.50368329005029,0.878928110245082,row_295,1,0.03125,1,0,0,approximate_centered_bootstrap
34,Ctx_IPS1_R,410,0.509371606172148,4.98994933484433,0.693602632300077,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
35,Ctx_FFC_L,410,0.520263796343117,5.5346942725921,0.95500526501049,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
36,Ctx_FFC_R,410,0.355760170752241,4.37824869818207,0.690344197122169,row_347,1,0.03125,1,0,0,approximate_centered_bootstrap
37,Ctx_V3B_L,410,0.460657245794548,5.29284268954751,0.729260508320474,row_090,1,0.03125,1,0,0,approximate_centered_bootstrap
38,Ctx_V3B_R,410,0.457899548658138,4.47804251421048,0.692105857054515,row_201,1,0.03125,1,0,0,approximate_centered_bootstrap
39,Ctx_LO1_L,410,0.450539513854808,6.44062995783472,1.038031217391,row_382,1,0.03125,1,0,0,approximate_centered_bootstrap
40,Ctx_LO1_R,410,0.449166790837113,5.46045616091646,0.740137091587751,row_076,1,0.03125,1,0,0,approximate_centered_bootstrap
41,Ctx_LO2_L,410,0.639372208616721,5.49433588388567,0.823923378745266,row_023,1,0.03125,1,0,0,approximate_centered_bootstrap
42,Ctx_LO2_R,410,0.897486142559275,6.185965532277,0.85234481127272,row_128,1,0.03125,1,0,0,approximate_centered_bootstrap
43,Ctx_PIT_L,410,0.622325404683848,6.63493152898061,0.889321551527535,row_129,1,0.03125,1,0,0,approximate_centered_bootstrap
44,Ctx_PIT_R,410,0.45427824034043,5.53710891516544,0.815502698110173,row_125,1,0.03125,1,0,0,approximate_centered_bootstrap
45,Ctx_MT_L,410,0.54309717002391,6.25649288395966,0.729450091427848,row_180,1,0.03125,1,0,0,approximate_centered_bootstrap
46,Ctx_MT_R,410,0.823053714593794,7.2589051393971,0.923309637933024,row_129,1,0.03125,1,0,0,approximate_centered_bootstrap
47,Ctx_A1_L,410,0.524250205717128,5.42317105066857,0.879883209191208,row_209,1,0.03125,1,0,0,approximate_centered_bootstrap
48,Ctx_A1_R,410,0.438349941286311,5.82628062078821,0.8032398333172,row_030,1,0.03125,1,0,0,approximate_centered_bootstrap
