roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Ctx_V1_L,410,425.740993546061,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
2,Ctx_V1_R,410,748.951946378413,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
3,Ctx_MST_L,410,105.867550517447,0.0625,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
4,Ctx_MST_R,410,152.889747948543,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
5,Ctx_V6_L,410,914.479663379464,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
6,Ctx_V6_R,410,631.11304893843,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
7,Ctx_V2_L,410,481.481822567831,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
8,Ctx_V2_R,410,1012.04248939808,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
9,Ctx_V3_L,410,507.342197787148,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
10,Ctx_V3_R,410,716.233370506387,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
11,Ctx_V4_L,410,882.480678119325,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
12,Ctx_V4_R,410,1720.16089628149,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
13,Ctx_V8_L,410,798.79039049939,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
14,Ctx_V8_R,410,2391.54251569047,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
15,Ctx_4_L,410,329.044925839041,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
16,Ctx_4_R,410,337.846237978471,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
17,Ctx_3b_L,410,296.728242562479,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
18,Ctx_3b_R,410,389.367176090667,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
19,Ctx_FEF_L,410,308.251265626851,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
20,Ctx_FEF_R,410,481.581972772629,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
21,Ctx_PEF_L,410,534.655957892272,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
22,Ctx_PEF_R,410,551.268555250032,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
23,Ctx_55b_L,410,683.949700264382,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
24,Ctx_55b_R,410,529.164375092921,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
25,Ctx_V3A_L,410,554.015649792749,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
26,Ctx_V3A_R,410,461.564220492927,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
27,Ctx_RSC_L,410,284.908076852842,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
28,Ctx_RSC_R,410,353.507835030973,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
29,Ctx_POS2_L,410,1252.96844811514,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
30,Ctx_POS2_R,410,1331.85137580356,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
31,Ctx_V7_L,410,785.891467919073,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
32,Ctx_V7_R,410,825.790962081723,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
33,Ctx_IPS1_L,410,804.108683719405,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
34,Ctx_IPS1_R,410,631.56515981635,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
35,Ctx_FFC_L,410,733.409491919305,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
36,Ctx_FFC_R,410,1460.44626161887,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
37,Ctx_V3B_L,410,377.30991005945,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
38,Ctx_V3B_R,410,1034.19385876502,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
39,Ctx_LO1_L,410,496.326398693446,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
40,Ctx_LO1_R,410,762.692402457827,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
41,Ctx_LO2_L,410,676.86307191942,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
42,Ctx_LO2_R,410,613.288738290561,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
43,Ctx_PIT_L,410,580.480766176008,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
44,Ctx_PIT_R,410,862.985530475363,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
45,Ctx_MT_L,410,138.159243775492,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
46,Ctx_MT_R,410,382.865241722246,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
47,Ctx_A1_L,410,179.066363140074,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
48,Ctx_A1_R,410,90.5605022253645,0.09375,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
49,Ctx_PSL_L,410,591.752646176591,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
50,Ctx_PSL_R,410,304.058759614309,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
51,Ctx_SFL_L,410,476.00618036813,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
52,Ctx_SFL_R,410,321.850262557138,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
53,Ctx_PCV_L,410,216.304499094291,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
54,Ctx_PCV_R,410,282.645331445555,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
55,Ctx_STV_L,410,680.600713572723,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
56,Ctx_STV_R,410,552.106527419712,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
57,Ctx_7Pm_L,410,1000.31196939915,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
58,Ctx_7Pm_R,410,949.615306252346,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
59,Ctx_7m_L,410,233.905654218308,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
60,Ctx_7m_R,410,269.494154972903,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
61,Ctx_POS1_L,410,538.5175715545,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
62,Ctx_POS1_R,410,585.668866250766,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
63,Ctx_23d_L,410,178.199572436115,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
64,Ctx_23d_R,410,353.484368943198,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
65,Ctx_v23ab_L,410,231.9479964844,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
66,Ctx_v23ab_R,410,227.917130446662,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
67,Ctx_d23ab_L,410,372.143473254699,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
68,Ctx_d23ab_R,410,390.141814378391,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
69,Ctx_31pv_L,410,350.260726346477,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
70,Ctx_31pv_R,410,340.659675636302,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
71,Ctx_5m_L,410,88.751262429286,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
72,Ctx_5m_R,410,145.386303653972,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
73,Ctx_5mv_L,410,118.961307088746,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
74,Ctx_5mv_R,410,294.431041556403,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
75,Ctx_23c_L,410,262.485540589765,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
76,Ctx_23c_R,410,359.942942379507,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
77,Ctx_5L_L,410,181.926988052734,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
78,Ctx_5L_R,410,141.998008874362,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
79,Ctx_24dd_L,410,120.135827158556,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
80,Ctx_24dd_R,410,293.420549993999,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
81,Ctx_24dv_L,410,128.522231523671,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
82,Ctx_24dv_R,410,189.862509232674,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
83,Ctx_7AL_L,410,216.249132822759,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
84,Ctx_7AL_R,410,286.071513704337,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
85,Ctx_SCEF_L,410,520.622617606956,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
86,Ctx_SCEF_R,410,390.589219200506,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
87,Ctx_6ma_L,410,567.484577859403,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
88,Ctx_6ma_R,410,472.698540178298,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
89,Ctx_7Am_L,410,524.497275860847,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
90,Ctx_7Am_R,410,809.878548050274,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
91,Ctx_7PL_L,410,1018.17462845222,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
92,Ctx_7PL_R,410,1333.01986501589,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
93,Ctx_7PC_L,410,480.160342941991,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
94,Ctx_7PC_R,410,495.335013402208,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
95,Ctx_LIPv_L,410,507.830969515336,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
96,Ctx_LIPv_R,410,331.306633510433,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
97,Ctx_VIP_L,410,482.264495399162,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
98,Ctx_VIP_R,410,570.995344522757,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
99,Ctx_MIP_L,410,527.021487437222,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
100,Ctx_MIP_R,410,663.129056351426,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRF,ok,non-inferential_smoke-test,0
