roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Ctx_V1_L,410,529.059344086258,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
2,Ctx_V1_R,410,731.764543161946,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
3,Ctx_MST_L,410,98.3672519249144,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
4,Ctx_MST_R,410,193.441343760891,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
5,Ctx_V6_L,410,929.897285398369,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
6,Ctx_V6_R,410,688.283693671126,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
7,Ctx_V2_L,410,462.253208698744,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
8,Ctx_V2_R,410,929.453212992783,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
9,Ctx_V3_L,410,539.417630070268,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
10,Ctx_V3_R,410,687.453424422755,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
11,Ctx_V4_L,410,983.801987716034,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
12,Ctx_V4_R,410,1709.58832328775,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
13,Ctx_V8_L,410,619.585299348189,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
14,Ctx_V8_R,410,2151.86615679213,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
15,Ctx_4_L,410,257.837505021679,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
16,Ctx_4_R,410,158.485657363318,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
17,Ctx_3b_L,410,290.269870784159,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
18,Ctx_3b_R,410,209.931631547532,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
19,Ctx_FEF_L,410,396.805392558704,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
20,Ctx_FEF_R,410,573.566063463974,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
21,Ctx_PEF_L,410,596.119879130279,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
22,Ctx_PEF_R,410,606.066266763331,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
23,Ctx_55b_L,410,648.711389627936,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
24,Ctx_55b_R,410,503.93904510731,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
25,Ctx_V3A_L,410,481.178726938851,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
26,Ctx_V3A_R,410,440.190221079325,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
27,Ctx_RSC_L,410,231.083634380961,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
28,Ctx_RSC_R,410,431.395539062131,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
29,Ctx_POS2_L,410,1270.50548162548,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
30,Ctx_POS2_R,410,1448.31231060917,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
31,Ctx_V7_L,410,752.744468160545,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
32,Ctx_V7_R,410,923.886080767798,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
33,Ctx_IPS1_L,410,713.765152106539,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
34,Ctx_IPS1_R,410,606.800173004316,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
35,Ctx_FFC_L,410,618.770862735836,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
36,Ctx_FFC_R,410,1184.35388915395,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
37,Ctx_V3B_L,410,295.540431089406,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
38,Ctx_V3B_R,410,1168.19104358831,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
39,Ctx_LO1_L,410,477.068477785174,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
40,Ctx_LO1_R,410,1070.1024746042,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
41,Ctx_LO2_L,410,505.626617925786,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
42,Ctx_LO2_R,410,636.204442981119,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,cHRFderiv,ok,non-inferential_smoke-test,0
