roi_id,roi_name,effective_n,S_obs,p_raw,p_holm,significant,contrast,hrf_model,data_quality_status,inference_status,monte_carlo_near_threshold
1,Ctx_V1_L,410,375.584324428988,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
2,Ctx_V1_R,410,712.356623507154,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
3,Ctx_MST_L,410,135.942222361251,0.0625,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
4,Ctx_MST_R,410,85.6687133599365,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
5,Ctx_V6_L,410,119.261563267099,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
6,Ctx_V6_R,410,141.220872245917,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
7,Ctx_V2_L,410,299.332283054701,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
8,Ctx_V2_R,410,554.733161848967,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
9,Ctx_V3_L,410,225.617952557522,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
10,Ctx_V3_R,410,314.734058839817,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
11,Ctx_V4_L,410,272.697064177106,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
12,Ctx_V4_R,410,499.615959508146,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
13,Ctx_V8_L,410,257.426839252722,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
14,Ctx_V8_R,410,572.970963419219,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
15,Ctx_4_L,410,414.854552908145,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
16,Ctx_4_R,410,305.077247120157,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
17,Ctx_3b_L,410,534.353338104081,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
18,Ctx_3b_R,410,477.902157245793,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
19,Ctx_FEF_L,410,256.959823618617,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
20,Ctx_FEF_R,410,126.833254877652,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
21,Ctx_PEF_L,410,205.60440047724,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
22,Ctx_PEF_R,410,92.0606327114343,0.125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
23,Ctx_55b_L,410,206.68531983557,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
24,Ctx_55b_R,410,126.191991226738,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
25,Ctx_V3A_L,410,240.638568209658,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
26,Ctx_V3A_R,410,260.403537833179,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
27,Ctx_RSC_L,410,108.252375994318,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
28,Ctx_RSC_R,410,186.383208474237,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
29,Ctx_POS2_L,410,463.201031863165,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
30,Ctx_POS2_R,410,591.588819968999,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
31,Ctx_V7_L,410,482.299878245461,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
32,Ctx_V7_R,410,412.410077842611,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
33,Ctx_IPS1_L,410,284.818600272292,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
34,Ctx_IPS1_R,410,83.8440310869044,0.09375,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
35,Ctx_FFC_L,410,241.843224081982,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
36,Ctx_FFC_R,410,382.057972126245,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
37,Ctx_V3B_L,410,234.602422260103,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
38,Ctx_V3B_R,410,241.877829665286,0.03125,1,0,Body_LoadDiff_vs_Face_LoadDiff,sHRF,ok,non-inferential_smoke-test,0
